name,lat,lon,temp,hum,wind,cloud,maxt
khatanga,71.97,102.5,24.04,95,5.41,34,24.04
punta arenas,-53.15,-70.92,42.39,70,26.4,20,42.8
airai,-8.93,125.41,67.21,52,2.8,0,67.21
lompoc,34.64,-120.46,61.92,63,12.75,1,62.6
kiama,-34.68,150.87,60.28,67,5.82,100,63.0
andenes,69.31,16.12,38.75,93,24.16,100,41.0
turayf,31.67,38.66,62.6,48,4.7,43,62.6
vaini,-21.2,-175.2,84.2,74,8.05,40,84.2
samana,19.21,-69.34,82.4,69,10.16,20,82.4
faanui,-16.48,-151.75,82.83,75,15.23,60,82.83
tuatapere,-46.13,167.68,54.0,72,5.99,35,54.0
comodoro rivadavia,-45.87,-67.5,59.0,38,17.22,0,59.0
qasigiannguit,68.82,-51.19,30.2,54,24.16,100,30.2
ibotirama,-12.19,-43.22,71.73,81,3.53,83,71.73
lebu,-37.62,-73.65,55.83,74,9.84,100,55.83
senno,59.53,33.92,30.09,98,2.37,80,30.09
saint george,37.1,-113.58,71.26,28,13.87,1,71.6
bredasdorp,-34.53,20.04,53.74,93,2.24,6,55.99
ushuaia,-54.8,-68.3,41.0,86,27.51,90,41.0
rikitea,-23.12,-134.97,77.07,67,5.99,100,77.07
san policarpo,12.18,125.51,82.33,83,13.11,95,82.33
saint-philippe,-21.36,55.77,66.99,73,6.93,75,73.4
cape town,-33.93,18.42,62.92,77,18.34,75,64.0
busselton,-33.65,115.33,54.68,63,20.2,78,57.99
albany,42.6,-73.97,60.01,52,4.18,90,60.01
muroto,33.28,134.15,64.4,82,8.05,40,64.4
kodiak,57.79,-152.41,46.4,75,12.75,90,46.4
pathein,16.78,94.73,77.59,87,6.69,7,77.59
san cristobal,7.77,-72.22,89.6,52,2.24,40,89.6
roald,62.58,6.13,39.88,93,10.29,0,41.0
hofn,64.25,-15.21,44.04,84,8.34,99,44.04
mount gambier,-37.83,140.77,59.0,67,18.34,40,59.0
chokurdakh,70.63,147.92,7.12,94,11.52,86,7.12
puerto ayora,-0.74,-90.35,82.18,70,18.34,75,84.2
port elizabeth,-33.92,25.57,71.6,46,12.75,29,71.6
tasiilaq,65.61,-37.64,32.0,92,4.7,100,32.0
tuktoyaktuk,69.45,-133.04,10.4,85,9.17,90,10.4
qaanaaq,77.48,-69.36,15.82,84,16.4,75,15.82
praia da vitoria,38.73,-27.07,57.2,62,18.77,20,57.2
sinnamary,5.38,-52.95,79.9,84,16.82,97,79.9
hermanus,-34.42,19.23,58.24,95,1.01,38,61.0
pevek,69.7,170.31,9.91,94,6.98,100,9.91
odweyne,9.41,45.06,74.93,50,1.07,100,74.93
katsuura,35.13,140.3,51.04,87,6.93,75,51.8
ilulissat,69.22,-51.1,30.2,54,24.16,100,30.2
san patricio,19.22,-104.7,75.2,78,17.22,5,75.2
ponta do sol,32.67,-17.1,56.07,64,5.01,13,57.99
nago,26.59,127.98,65.53,93,11.41,75,66.2
kati,12.74,-8.07,93.2,26,4.7,97,93.2
butaritari,3.07,172.79,83.39,73,8.81,23,83.39
sept-iles,50.2,-66.38,32.0,97,13.87,90,32.0
atar,20.52,-13.05,71.76,20,8.34,0,71.76
hosakote,14.28,77.17,77.07,44,6.15,33,77.07
mumford,5.26,-0.76,82.0,81,7.78,99,82.0
pisco,-13.7,-76.22,70.92,73,17.22,0,71.6
old saybrook,41.29,-72.38,49.78,66,9.17,1,51.01
atuona,-9.8,-139.03,82.89,73,12.97,38,82.89
barrow,71.29,-156.79,12.2,85,6.93,90,12.2
iberia,29.95,-91.75,78.8,88,17.22,90,78.8
guymon,36.68,-101.48,72.52,26,8.05,20,73.4
derzhavinsk,51.1,66.32,53.47,66,6.87,99,53.47
chopovychi,50.83,28.95,33.8,83,8.14,5,33.8
mahebourg,-20.41,57.7,74.73,88,11.41,40,75.2
longyearbyen,78.22,15.64,28.4,86,33.33,90,28.4
saskylakh,71.92,114.08,17.15,95,3.6,2,17.15
hovd,48.01,91.64,37.11,36,0.54,0,37.11
cidreira,-30.18,-50.21,68.07,85,16.93,0,68.07
provideniya,64.38,-173.3,22.44,95,14.94,100,22.44
mataura,-46.19,168.86,54.0,72,5.99,72,54.0
jamestown,42.1,-79.24,45.19,81,12.75,90,46.0
iqaluit,63.75,-68.51,1.2,70,8.05,20,1.4
narsaq,60.92,-46.05,28.4,58,4.7,0,28.4
farsund,58.09,6.8,43.47,76,4.74,0,45.0
balkhash,46.84,74.98,55.45,36,9.44,0,55.45
cockburn town,21.46,-71.14,79.18,82,16.49,7,79.18
bluff,-46.6,168.33,54.0,72,5.99,78,54.0
pochutla,15.74,-96.47,86.0,66,17.22,40,86.0
broken hill,-31.95,141.43,68.0,32,11.41,75,68.0
sola,-13.88,167.55,86.0,89,5.82,75,86.0
ianca,45.13,27.45,50.0,66,26.4,90,50.0
alta floresta,-9.88,-56.09,72.99,86,0.89,47,72.99
hithadhoo,-0.6,73.08,84.76,75,10.29,90,84.76
da lat,11.95,108.44,65.46,57,0.87,63,65.46
surab,28.49,66.26,58.3,33,6.51,52,58.3
bethel,41.37,-73.41,55.17,35,10.29,1,57.2
mountain home,43.13,-115.69,66.11,19,11.41,1,68.0
escuintla,14.3,-90.78,73.4,64,16.11,20,73.4
maputo,-25.97,32.59,66.2,88,6.93,1,66.2
vila velha,-20.33,-40.29,74.57,73,10.29,40,75.2
new norfolk,-42.78,147.06,51.93,92,7.74,100,55.99
upernavik,72.79,-56.15,26.91,84,26.26,94,26.91
savannah bight,16.45,-85.85,82.18,80,29.19,47,82.18
port macquarie,-31.43,152.92,63.97,82,3.36,40,66.0
duzce,40.84,31.16,58.91,51,3.74,44,58.91
kupino,54.37,77.3,50.67,68,5.64,50,50.67
salym,60.06,71.48,34.79,87,4.79,0,34.79
neepawa,50.23,-99.47,53.6,37,21.92,75,53.6
lagunas,-5.23,-75.68,75.94,63,2.15,0,75.94
nemuro,43.32,145.57,37.92,83,15.99,95,37.92
sitka,57.05,-135.33,45.72,81,4.7,90,51.8
bengkulu,-3.8,102.27,78.13,83,4.12,84,78.13
lixourion,38.2,20.43,57.99,62,2.15,74,57.99
bealanana,-14.55,48.73,60.58,69,4.14,54,60.58
castro,-24.79,-50.01,57.07,70,5.88,34,57.07
touros,-5.2,-35.46,78.8,88,3.36,20,78.8
chuy,-33.7,-53.46,64.58,89,7.49,23,64.58
yakymivka,46.69,35.15,47.41,84,5.57,100,47.41
los llanos de aridane,28.66,-17.92,64.4,72,10.29,20,64.4
guangyuan,32.44,105.82,48.99,83,4.83,99,48.99
te anau,-45.42,167.72,51.75,57,7.76,58,51.75
kaitangata,-46.28,169.85,57.99,43,14.0,52,57.99
mayumba,-3.43,10.66,79.09,85,12.33,90,79.09
aykhal,66.0,111.5,23.0,38,2.24,2,23.0
victoria,22.29,114.16,74.43,83,4.25,85,77.0
carnarvon,-24.87,113.63,71.6,83,11.41,49,71.6
dunedin,-45.87,170.5,59.0,35,7.0,46,59.0
thompson,55.74,-97.86,23.0,79,10.29,90,23.0
paraiso,9.84,-83.87,69.8,88,1.12,75,69.8
were ilu,10.6,39.43,55.44,38,1.41,99,55.44
ambon,-3.7,128.18,84.2,79,2.24,40,84.2
grand forks,47.93,-97.03,48.99,36,20.8,75,50.0
yellowknife,62.46,-114.35,26.29,53,20.8,40,26.6
placido de castro,-10.34,-67.19,75.74,69,1.72,8,75.74
kapaa,22.08,-159.32,79.92,61,10.29,1,80.6
hobart,-42.88,147.33,52.74,81,6.93,90,53.6
susanville,40.42,-120.65,55.99,57,10.0,87,55.99
teya,60.38,92.63,31.64,83,4.7,46,31.64
bahia blanca,-38.72,-62.27,63.25,45,7.56,91,63.25
manoel urbano,-8.84,-69.26,74.95,67,1.5,15,74.95
santarem,-2.44,-54.71,77.0,94,5.82,75,77.0
praia,14.92,-23.51,71.6,68,19.46,20,71.6
jiuquan,39.74,98.52,41.94,27,3.38,4,41.94
charleston,32.78,-79.93,64.0,93,12.75,90,66.0
susehri,40.16,38.09,51.22,38,3.94,65,51.22
margate,51.38,1.39,49.66,80,4.0,0,50.0
avera,33.19,-82.53,55.27,94,5.82,90,57.2
tilichiki,60.47,166.1,16.95,90,16.53,91,16.95
mantua,45.17,10.78,61.39,86,1.01,100,62.01
fairbanks,64.84,-147.72,46.54,93,3.36,75,48.0
caibarien,22.52,-79.47,87.8,55,6.93,75,87.8
souillac,-20.52,57.52,74.64,88,11.41,40,75.2
college,64.86,-147.8,46.63,75,2.55,90,48.0
kruisfontein,-34.0,24.73,67.21,49,4.18,20,67.21
ribnitz-damgarten,54.25,12.47,35.11,59,4.7,0,37.4
sorland,67.67,12.69,40.82,94,19.01,100,40.82
wexford,52.33,-6.46,48.99,85,12.59,50,48.99
alamosa,37.47,-105.87,51.58,24,17.22,90,51.8
burnie,-41.07,145.92,54.95,96,24.0,100,55.99
dikson,73.51,80.55,34.48,89,22.77,90,34.48
kitimat,54.05,-128.65,59.61,39,16.11,20,62.6
haines junction,60.75,-137.51,48.24,48,9.42,98,48.24
ribeira grande,38.52,-28.7,56.68,63,12.53,7,56.68
anadyr,64.75,177.48,19.17,79,2.24,40,19.4
mingaora,34.78,72.36,55.94,42,7.31,83,55.94
ahipara,-35.17,173.17,63.28,90,5.37,100,63.28
bambous virieux,-20.34,57.76,74.64,88,11.41,40,75.2
aberdeen,57.14,-2.1,37.56,93,4.7,0,41.0
mount isa,-20.73,139.5,78.8,26,3.36,75,78.8
adrar,20.5,-10.07,75.76,18,6.55,0,75.76
sioux lookout,50.1,-91.92,34.14,43,16.11,90,35.6
inhambane,-23.86,35.38,73.2,83,10.02,14,73.2
hasaki,35.73,140.83,48.09,93,6.93,75,48.2
cabo san lucas,22.89,-109.91,77.34,44,8.05,5,78.8
dosso,13.05,3.19,85.48,35,4.27,28,85.48
nikolskoye,59.7,30.79,37.13,94,4.47,67,37.4
iquitos,-3.75,-73.25,77.0,88,1.12,40,77.0
santiago,-33.46,-70.65,77.99,39,3.36,0,80.6
port hawkesbury,45.62,-61.35,30.74,68,17.22,1,30.99
asyut,27.18,31.18,64.4,52,9.17,0,64.4
ankazobe,-18.32,47.12,60.8,77,11.41,75,60.8
atbasar,51.8,68.33,52.48,63,4.43,91,52.48
mgandu,-5.95,34.13,61.29,65,3.91,85,61.29
torbay,47.67,-52.73,33.85,92,23.04,90,35.01
taltal,-25.4,-70.48,60.87,75,2.08,0,60.87
kalghatgi,15.18,74.97,73.62,70,2.28,29,73.62
mar del plata,-38.0,-57.56,66.61,82,6.93,29,66.99
olavarria,-36.89,-60.32,69.01,70,5.32,18,69.01
moree,-29.47,149.85,62.6,55,2.24,84,62.6
nelson bay,-32.72,152.15,62.28,63,10.29,86,64.0
ulladulla,-35.35,150.47,55.31,67,5.82,100,59.0
axim,4.87,-2.24,81.61,81,6.91,99,81.61
adra,36.75,-3.02,64.4,72,8.05,15,64.4
grand gaube,-20.01,57.66,74.44,88,11.41,40,75.2
zhanjiang,21.28,110.34,77.29,85,13.82,61,77.29
vikhorevka,56.12,101.16,24.39,45,4.47,0,24.8
srednekolymsk,67.45,153.68,9.52,93,12.19,86,9.52
tiksi,71.69,128.87,14.04,91,6.31,94,14.04
sao gabriel da cachoeira,-0.13,-67.09,74.68,93,1.23,68,74.68
mugumu,-1.85,34.7,60.76,64,1.72,100,60.76
cabedelo,-6.98,-34.83,77.0,94,7.67,11,77.0
olafsvik,64.89,-23.71,44.38,91,21.25,100,44.38
nicoya,10.15,-85.45,87.12,43,11.41,20,91.4
mecca,21.43,39.83,74.16,73,1.63,100,74.16
cherskiy,68.75,161.3,9.03,93,7.92,100,9.03
shahreza,32.03,51.88,53.56,38,0.11,86,53.56
barentu,15.11,37.59,68.65,17,4.05,92,68.65
spokane,47.62,-117.37,63.03,34,5.82,75,64.99
hilo,19.73,-155.09,76.73,51,12.75,1,82.4
cortez,37.35,-108.59,57.92,27,10.29,75,62.6
sao filipe,14.9,-24.5,71.82,74,19.71,0,71.82
leningradskiy,69.38,178.42,13.62,92,9.06,93,13.62
petrozavodsk,61.78,34.35,35.6,97,4.47,67,35.6
pascagoula,30.37,-88.56,79.23,65,6.93,40,80.6
alexandria,31.22,29.96,60.55,77,4.7,2,62.6
alta gracia,-31.65,-64.43,71.55,59,6.93,0,77.0
saint-louis,16.33,-15.0,86.0,30,6.93,3,86.0
avarua,-21.21,-159.78,82.4,69,12.75,2,82.4
winneba,5.35,-0.62,82.4,83,11.41,40,82.4
bay roberts,47.6,-53.26,35.01,1,11.01,100,35.01
nouadhibou,20.93,-17.03,66.2,77,19.46,0,66.2
galveston,29.37,-94.97,78.26,88,17.22,90,81.0
kholodnyy,62.72,147.95,5.58,80,4.85,100,5.58
henties bay,-22.12,14.28,57.99,93,1.99,5,57.99
arraial do cabo,-22.97,-42.03,73.67,70,4.79,96,73.67
nanortalik,60.14,-45.24,28.4,89,9.46,6,28.4
coahuayana,18.73,-103.68,84.2,54,5.82,5,84.2
berdigestyakh,62.1,126.7,16.95,89,3.62,38,16.95
lakes entrance,-37.88,147.98,61.0,60,28.99,100,61.0
east london,-33.02,27.91,76.21,54,13.35,0,76.21
norman wells,65.28,-126.83,28.4,68,6.93,90,28.4
mega,4.05,38.3,61.32,60,1.03,100,61.32
plaster rock,46.91,-67.39,50.22,40,11.41,90,51.8
lhokseumawe,5.18,97.15,79.05,81,3.91,60,79.05
trabzon,40.92,39.83,51.8,76,3.36,37,51.8
gat,31.61,34.76,60.53,15,5.48,1,63.0
carahue,-38.7,-73.17,59.0,77,2.24,100,59.0
chimbarongo,-34.7,-71.05,71.31,40,4.7,90,75.2
adeje,28.12,-16.73,61.23,63,6.93,20,64.4
kuryk,43.2,51.65,53.2,79,0.94,40,53.2
kalianget,-7.05,113.93,82.6,74,0.67,100,82.6
guerrero negro,27.98,-114.06,64.09,68,21.43,93,64.09
talaya,61.38,152.75,4.42,81,10.29,100,4.42
yar-sale,66.83,70.83,34.12,98,8.01,100,34.12
willowmore,-33.29,23.49,68.02,18,5.37,0,68.02
port-gentil,-0.72,8.78,79.61,81,2.37,100,79.61
apsheronsk,44.46,39.73,45.7,53,4.03,60,45.7
port alfred,-33.59,26.89,72.0,74,7.36,14,72.0
georgetown,5.41,100.34,77.65,94,3.91,20,78.8
ponta delgada,37.73,-25.67,55.4,62,8.05,20,55.4
mogadishu,2.04,45.34,83.17,74,8.08,88,83.17
kavieng,-2.57,150.8,83.79,75,7.14,78,83.79
neiafu,-18.65,-173.98,84.2,70,9.17,40,84.2
sao joao da barra,-21.64,-41.05,71.65,77,6.73,71,71.65
namwala,-15.75,26.44,61.72,62,1.23,0,61.72
yeppoon,-23.13,150.73,77.0,78,6.93,75,77.0
athabasca,54.72,-113.29,49.84,64,9.24,83,49.84
sayville,40.74,-73.08,49.68,66,14.99,90,51.01
lazaro cardenas,17.96,-102.2,80.53,71,6.82,35,80.53
eureka,40.8,-124.16,56.93,68,5.99,7,61.0
calabozo,8.92,-67.43,84.99,53,5.03,64,84.99
yulara,-25.24,130.99,80.6,36,12.75,25,80.6
laguna,38.42,-121.42,68.81,48,6.93,1,71.01
faribault,44.3,-93.27,49.08,31,10.29,15,50.0
anchorage,61.22,-149.9,47.64,70,8.05,90,50.0
jijiga,9.35,42.8,65.8,52,6.33,100,65.8
general roca,-39.03,-67.58,68.0,40,9.73,96,68.0
tura,25.52,90.22,68.61,85,1.66,26,68.61
erenhot,43.65,111.98,28.18,52,25.03,0,28.18
ravar,31.27,56.81,62.78,40,1.48,59,62.78
isla vista,34.41,-119.86,63.03,67,11.41,90,64.99
gimli,50.63,-96.99,48.0,46,13.0,100,48.0
barcelos,41.54,-8.62,52.25,93,2.24,40,53.6
ostrovnoy,68.05,39.51,25.7,97,7.67,74,25.7
lebyazhye,55.27,66.49,40.75,65,5.88,74,40.75
bozuyuk,39.91,30.04,45.75,70,4.7,18,46.4
road town,18.42,-64.62,80.01,81,11.99,33,80.01
asau,46.43,26.4,46.15,87,8.05,90,46.4
pangnirtung,66.15,-65.71,-1.23,85,4.12,36,-1.23
arlit,18.74,7.39,82.33,12,2.08,79,82.33
port augusta,-32.5,137.77,65.82,68,8.05,40,68.0
batagay-alyta,67.8,130.41,20.82,86,3.62,88,20.82
kalabo,-14.97,22.68,65.62,60,4.74,37,65.62
aswan,24.09,32.91,70.5,30,8.34,0,70.5
shingu,33.73,135.98,62.6,93,3.36,75,62.6
roslavl,53.95,32.86,31.71,90,7.76,13,31.71
vao,-22.67,167.48,78.03,81,15.39,100,78.03
lavrentiya,65.58,-171.0,21.18,91,8.16,100,21.18
nara,34.69,135.8,57.94,77,3.36,75,60.8
lagoa,39.05,-27.98,56.55,63,17.36,23,56.55
gerash,27.67,54.14,72.0,32,4.14,100,72.0
